,0
762,"Ashneer is straight forward guy  , people think he is rude ,but he speaks to the point , no cut to crap BS, 
Seddhi baat no bakwas !!"
763,This mind-blowing conversation with Ashnir Grover I know so many things like Speaking English and many more.
764,He Is More Like Gautam Gambhir Than Gautam Gambhir 
765,"I have been into finance from last 8 years  and i am happy with my firm  
I am working for one of the Big4 "
766,Ashneer Is the person that don't give tarik pe tarik to say no at the end
767,"That ""SAYING NO"" vala part is soo good "
768,Ashneer Grover Supremacy ️
769,BE Honest is a game .
770,Bro Haven't watched even 1 episode of Shark Tank. But this guy is amazing 
771,"7:14 Ashneer Grover said to himself - ""Bhai tu ye kya kar raha hai?"" "
772,Great one goooooo 
773,"Habitual business  - Jo aasani se log adapt kar lete hai , vo scabling  hota hai
Education is key .
Risk taking ability - capability , risk to lena hoga agar kuch alag karna ho to.
Learning about Investment 
You have to bet on people ( build to business from scratch )
Satsa , chota size and right now , discounts  and feedback or service bhi chahiye .
-- convince ( costumer service in India is tuff)
Choti or highvalue hona chahiye 
Leveraged - convenience - building around conivunence in online . ( Cost of delivery ) or high margins or subscription , Every tickets size .
D to C  - for building brand , retial ( offline) , how you build your brand ."
774,"the 3 personalities sabse badiya lagi yrr, ek ashneer sir that he is a straight forward guy (though i wasn't able to understand it in the episodes of shark tank but now i get it.) and aman sir that he is leaving a impact on every one he meet and peyush sir that he is like ""this world shall know inovations"" . I am gonna try using every one of their personalities ."
775,This guy is sooo good
776,"In today’s episode of Figuring Out, Raj talks with Ashneer Grover, MD, and Co-Founder BharatPe. He is also among the judges in the reality show Shark Tank India. He has completed his graduation from IIT Delhi and MBA from Indian IIM Ahmedabad. 
 
Ashneer shares that it is really ironic that Bira has been his biggest portfolio investment even when he is nowhere near drinking! He elucidates why he left 9-5 work and joined an entrepreneurial venture and explains why the MRP of a product is problematic for India.
 
Ashneer shares his experience of working with different companies and startups like Kotak Investment Banking, Amex, Grofers, etc. and talks about his experience of being a part of Shark Tank India.
 
Ashneer explains how can one build a brand in India with an example of his own experience of building BharatPe. He also discusses some fundamentals that should be clear to anyone who wants to be an entrepreneur. 
 
To learn more about building a brand, scaling a business, Shark Tank India, etc., watch the video till the end!"
777,Very interesting podcast
778,
779,"Thank you so much for this, this was really needed"
780,"Kamaal ka bandha hai yaar
Seedha seedha baat krta hai"
781,What a Chance like chance mei dance mar lya Raj Ne 
782,Reel vs real life
783,shat shat naman........excellent .........real  and superb shark..........most respected  shark....
784,Mast banda hai ashneer
785,Loved the persona of this man 
786,"First podcast I watched entire, and did not skip ."
787,"Bhai apki thumbnail ki skills pro level h, pura trend pe match kat kar k har din charge kar rahe ho. 

But thanks for this amazing interview, we learn so much from both of you "
788,Mr.Ashneer is like RGV of corporate....I like that
789,The thing i like about Ashneer is that he can see right through the bullshit .
790,44:40... Best one
791,"whattaaa legend, loved this conversation"
792,"Bahot tagda Banda h Ashneer, deeply rooted to his culture and country."
793,Practical knowledge matters a lot more than books . Ashneer also doesn't read books . All he got is from market reading and observing
794,Ashneer thought were way more clear than someone who pretend to be
795,"Yes, I am surprised he knows about Ocado from UK. Great knowledge"
796,I too respect him for honestly untill his scam came out 
797,"Celebs only bring TRP
Entrepreneur bring GDP
Edit: Entrepreneurs cum Celebs can bring miraculous results "
798,This was great
799,All toppers in school are not failure in life . Period.
800,Best Podcast so far! Loved watching each and every minute. ️
801,One of the best founder interview..thanks for bringing this up..Ashneer is point on..so much to learn from
802,One of the greatest conversations on business. Loved his views. Learned a lot.
803,"Good conversation! Mr. Grover has shared his knowledge with us, very insightful, got to learn a lot here. 
Thank you both! "
804,"He is the man! 
Simple ,straight to the point answers 
Pura  business krna sikha dega in simple terms"
805,Learned a lot from this conversation . Wonderful podcast.i love it
806,This was such an inspiring interview
807,"Wow! Speechless what a great thinker,Philosopher Ashneer is.Till now this is the one podcast that’s through i truly learnt very easily very deepest learning."
808,"Thanks for this podcast raj bro...
Ashneer is my favourite shark of shark tank india..his realism is what i love the most about him he tells everything straight..."
809,Great show. We need more like him on the show adding more value than just greedy for views and likes
810,"You should've asked him about the latest fiasco. But anyway, his insightful was super interesting & would help budding entrepreneurs a lot. Kudos to you for such a great interview."
811,honestly if i have ever got a chance to get a mentor like ashneer sir i will seriously wash his feet to be his disciple the brutality and straightforward he is. its next level..
812,Such wisdom. Worth rewatching and additionally taking notes doing that. 
813,This is called quality content ️
814,He is literally revolutionary
815,he made all these things and made them so simple to understand that now it's hard to imagine how he actually made all that possible
816,"best line by ashneer      ....U cant be the problem , you have to solve the problem.

Ashneer won millions of heart "
817,My fav Shark for a reason  his straight forward nature 
818,He blew Raj's as well as our mind with his clarity and outspokenness
819,"This is my first time coming here, and I'm in love with 1.26 hr  of this podcast. ️"
820,Ashneer Bhai big fan ... I think Bharat Pe would suffer alot if they allow this wonderful guy to step out... He is truly a gem
821,Thanks a lot bro for this podcast 
822,I am totally amazed by seeing this podcast he is very unique and different person I have ever seen
823,It was great podcast. Enjoyed every bit of it.
824,"Literally best ever person i found this year , 
Saluate ashneer sir️"
825,BEST BEST BEST BEST VIDEO on Raj’s channel. Also BEST interview with a shark after shark tank india. Thankyou Raj for this. Looking forward to many more intellectual like this
826,Look at the views on this video! Just 19 hours and 5 lakh views! This shows the craze of Ashneer Grover's! People are eagerly wanting to know about him!
